企業番号	"生産品目"
19850076	プラント設備の設計製作
19850078	自動車製造販売
19850080	工業計器，電気計測器等販売修理
19850083	農業機械製造販売
19850085	特殊織機製造
19850086	建築材料製造加工
19850087	配管工事
19850088	飲料自動販売機オペレ－ション
19850089	建築土木溶接工事
19850091	各種セキュリティサービスの提供他
19850093	レジャ－機器製造販売
19850100	飲食業
19850102	電子部品製造
19850103	
19850107	照明用ソケットスイッチ
19850111	
19850114	建物の防水、塗装、吹付工事
19850115	計測機器情報機器技術サ－ビス
19850116	工業用ガラス等の製造販売
19850117	
19850118	
19850119	鉄筋工事
19850120	レストラン
19850123	最高級綿糸製造
19850124	自動車農機具の部品加工
19850125	
19850126	自動車用部品製造
19850130	総合建設業
19850131	輸送業
19850132	情報処理サ－ビス
19850133	自動車用品製造販売
19850134	複写機・関連器製造販売
19850137	電気・計装工事、設計施工、情報通信事業他
19850138	総合建設業
19850139	総合建設業
19850140	総合設備業
19850142	卓上工作機械メーカー工作機械部品製造
19850143	レストラン
19850144	中国料理
19850147	
19850154	電気機械器具製造
19850155	大型精密機械の受注，スポ－ツ航空機製造
19850160	特殊化学製品等製造販売
19850161	鉄筋加工組立工事
19850162	鉄筋組立施工
19850163	ガス圧接電気溶接
19850164	レストラン
19850167	
19850168	飲食業
19850170	自動車製造開発
19850173	商業美術印刷工業印刷
19850174	自動販売機等の販売・保守
19850176	コンピﾕ－タ運営管理
19850177	
19850178	産業用機器保守電子機器部品販売
19850179	電気工事
19850180	機械電気電子機器設計開発
19850182	総合建設業
19850183	レストラン
19850184	ハ－ド・ソフトのメンテナンス
19850185	プラント建設業
19850188	特殊硝子製品の加工販売
19850190	プラント設計コンピュ－タ関連
19850195	女性服
19850196	
19850197	
19850199	薄鋼板販売加工
19850201	送電線建設土木建築工事
19850202	飲食業
19850205	セキュリティシステムの企画・開発・販売
19850206	
19850207	セキュリティサ－ビス
19850209	電気設備工事請負
19850214	各種設備製造販売
19850215	各種設備製造販売
19850217	高速道路維持管理
19850218	美容業
19850219	日本料理ふぐ料理・鮨
19850221	
19850223	機械設計･製図
19850224	ホテルレストラン
19850225	建築工事
19850228	繊維の染色加工
19850229	中国料理
19850230	
19850232	清涼飲料製造販売
19850233	農機具販売修理
19850234	ソフト開発,システム等管理運営受託サ－ビス
19850235	電気事業
19850238	各種産業機械部品製造
19850240	家具製造販売
19850242	クレ－ン建設業
19850244	
19850246	洋菓子製造販売
19850247	自動車用部品製造
19850248	輸送用機械器具、自動車部品製造業
19850260	石油の販売
19850264	
19850266	理容全般
19850268	半導体素子他電子部品製造
19850273	電子機器等研究開発製造販売
19850275	清酒製造瓶詰
19850276	石油・化学・ガス販売・運営
19850277	塗装防水工事
19850278	電子機器システム設計製作
19850279	食品加工機，同梱包機械製作，各種機械部品製作
19850282	
19850283	産業機械部品加工
19850284	電気機器販売
19850286	印刷工作機械製造
19850292	自動車販売整備
19850293	レストラン
19850295	総合印刷事業，情報誌出版他
19850296	各種印刷機各種自動制御機器
19850297	電気設備工事
19850300	建設施工
19850301	建築設計監理
19850302	
19850305	飲食業
19850307	
19850312	非破壊検査業
19850318	自動車ブレーキ用ホイルシリンダ製造
19850320	住宅設備機器製造販売，ＬＰｶﾞｽ小売
19850321	自動車関連設備・搬送ｼｽﾃﾑ他設計製作
19850323	通信機器情報処理開発製造販売
19850324	ソフトウエア開発販売
19850325	化学工業薬品製造
19850326	釣具用品製造販売
19850327	
19850329	繊維製品化学製品電子機器製造販売
19850331	ガス石油販売
19850332	総合安全管理警備業
19850339	硝子びん製造販売
19850341	電気機械器具製造販売
19850345	理容業
19850346	
19850348	各種端末機保守
19850349	各種端末機保守
19850351	給食弁当製造販売
19850352	寿司及び日本料理
19850353	家電量販
19850360	プラスチック金型設計製作
19850361	絹製品製造販売
19850362	化学肥料製造販売
19850366	電気機械修理販売
19850367	アパレル産業用　繊維製品
19850368	ＯＡ機器販売保守
19850373	
19850374	ソフト開発
19850375	
19850377	レストランの経営
19850378	農業機械石油ガス販売
19850379	
19850382	電気機器研究開発
19850384	総合建設業
19850388	各種機器販売
19850389	
19850391	情報処理
19850397	印刷物全般
19850401	
19850402	ソフトウエア開発
19850404	寝具等製造卸
19850406	飲食業
19850411	学生服等製造販売
19850414	建設業
19850417	鍛工品の製造（自動車部品）
19850419	産業機器開発
19850422	ス－パ－
19850424	通信機器設計製作
19850425	郵便自動化機器保守調整
19850426	総合建築業
19850427	工業用ミシン等部品製造販売
19850428	
19850429	印刷製紙機械設計
19850433	検査用治具等各種治具の製造
19850434	日立製作所県下総代理店
19850435	木型・機械加工
19850437	塗装工事
19850438	製鉄用コ－クス各種化学品製造
19850439	
19850440	運送事業
19850442	自動ドア製造販売施工保守
19850443	建設工事設計管理
19850445	
19850446	
19850448	業務用料理道具製造販売
19850455	自動車部品販売
19850457	制御・通信システムの設計製作等
19850459	メンズニット製品卸売
19850462	道路舗装、循環整備、土木事業
19850465	自動車・農機具部品製造
19850466	工作・産業機械ｶﾊﾞｰのシ－トメタル加工、製作
19850469	プラスチック容器製造販売
19850472	自動車販売整備
19850474	自動車プレス金型・設計製作
19850481	食品容器製造販売
19850484	石油製品販売
19850485	
19850486	自動車販売整備
19850488	機械設計
19850490	情報処理サ－ビス
19850491	プラント建設メンテナンス
19850492	化学工業薬品製造販売
19850494	
19850498	自動車販売整備
19850503	食品加工機械開発製造
19850505	自動車販売整備
19850508	
19850509	電動機製造販売
19850510	石油製品販売
19850511	農業機械販売修理
19850512	建設業
19850515	無機化学工業薬品の製造
19850516	
19850517	プレス機点検保守
19850518	パン製造
19850520	パン洋菓子製造
19850524	合成樹脂製品製造
19850525	
19850531	建築資材卸売
19850535	貨物運送業
19850539	自動車部品製造
19850542	建築設備工事
19850543	自動車販売整備
19850544	カット＆パ－マ
19850545	水処理・ビル管理
19850546	農機具販売
19850548	
19850554	印刷業
19850556	プラスチック用金型製造
19850559	レ－ヨン糸
19850560	ﾌﾟﾗｽﾁｯｸ食品容器等の製造
19850561	
19850562	
19850563	建設業
19850565	非破壊検査
19850567	ソフトウエア
19850570	家電・産業用機器製造販売
19850575	総合農協
19850577	小麦粉乾麺製造販売
19850580	
19850583	ビル管理
19850587	
19850589	建築土木造園
19850596	
19850598	石油類販売
19850600	総合建設業
19850601	
19850602	レストラン
19850603	
19850604	
19850607	照明器具等企画・設計・製造
19850608	
19850622	総合建設業
19850623	
19850624	
19850625	総合農協
19850626	
19850627	木造住宅新築増改築施工
19850629	
19850631	コンピュ－タ業務
19850632	
19850636	インテリア用品の販売・施工アフタ－ケア
19850640	ソフトウエア製造
19850641	各種自動車修理
19850642	綜合建設業
19850647	プラスチックﾌｨﾙﾑｸﾞﾗﾋﾞｱ印刷加工販売
19850649	
19850655	住宅部材･新建材製造
19850656	総合建設業
19850657	建築業
19850659	
19850662	電子部品の製造
19850663	石油製品販売
19850666	ソフトウｴア開発
19850668	住宅建設家具小売
19850674	
19850675	
19850676	食品軽量容器の製造，成形機製作
19850678	電気通信工事業等
19850682	包装用資材の卸売
19850683	
19850684	
19850690	
19850691	
19850694	シ－ル・ラベル印刷
19850700	総合建設業
19850707	建築設計
19850709	総合建設業
19850714	荷役機器製造販売建設・土木工事
19850715	清涼飲料水製造
19850716	清涼飲料水販売
19850718	
19850725	
19850730	
19850735	
19850737	電気工事
19850738	
19850739	事務机天板不燃間仕切
19850740	
19850741	
	
19850743	精神薄弱者福祉
19850746	
19850747	
19850753	
19850755	電気水道工事
19850759	電子回路製造組立
19850765	
19850768	
19850775	レストラン
19850778	家電製品販売
19850779	
19850785	電線管附属品製造
19850791	
19850793	
19850794	ｺﾝﾋﾟｭ-ﾀｹﾞ-ﾑ機器開発製造販売
19850796	
19850798	鉄塔類の製作加工
19850802	総合建設業
19860001	
19860002	
19860013	ストア－経営
19860016	印刷機械部品事務機器部品
19860019	美容業
19860020	理容業全般（男性エステを含む）
19860029	外食産業
19860044	総合建設業
19860051	超硬工具製造販売
19860059	二輪車・自動車製造
19860062	
19860072	
19860078	飲食業
19860079	
19860080	レストラン事業／かに料理専門レストラン
19860085	レストラン
19860088	
19860094	コンピュ－タソフト設計製造販売
19860100	自動車部品設計製作
19860102	
19860104	
19860107	通信システム技術サ－ビス
19860118	飲食業
19860125	設計製図
19860127	
19860128	建築工事
19860129	
19860130	和洋菓子製造販売
19860131	航空写真記念写真撮影製作販売
19860142	産業機械部品加工
19860147	電気機器製造，販売，修理
19860148	各種織布製造販売
19860153	インテリア家具の企画製造販売
19860157	総合建設工事
19860160	
19860169	電気・通信・空調等総合設備の設計施工
19860195	飲食業
19860199	
19860204	精密・福祉・医療機器の開発・設計・製作販売
19860211	エレクトロニクス関連部品製造組立
19860214	自動車内装部品製造業
19860216	建築工事業
19860221	
19860234	
19860240	ボルトナット販売
19860249	石油製品等販売
19860250	総合建設業
19860252	
19860254	ソフトウェア開発販売
19860255	ソフト開発
19860273	警備全般
19860282	石油製品販売
19860299	
19860301	
19860304	ゴム履物，自動車部品製造販売
19860314	
19860315	ネジ類・金属製品・外食事業部
19860316	
19860318	コンピﾕ－タ業
19860320	美容業
19860321	電気工事
19860325	港湾運送業、倉庫業
19860331	
19860332	レンズ製造販売
19860340	建築業
19860346	
19860347	
19860348	すし
19860357	
19860359	
19860365	自動車製造開発
19860366	
19860367	ソフト開発
19860368	精密ばね・精密機器製造
19860369	自動車部品製造
19860371	手打うどん
19860382	金属板印刷
19860386	貨物自動車運送事業
19860387	
19860394	ソフトウエア開発
19860396	
19860398	電気計装設備計測機器開発
19860406	家庭医薬品配置販売
19860408	電気工事
19860415	土木電気工事
19860421	美容業
19860422	理容業
19860424	
19860434	建設業
19860440	美容院
19860442	家庭用品販売
19860444	ボルト製造精密鈑金
19860445	ミサワホ－ム指定工事店
19860451	
19860455	
19860457	
19860459	貨物運送事業
19860460	ＤＩＹ用品等の販売
19860462	紳士・婦人服
19860467	農業・建設機械，住宅設備販売
19860472	自動車販売修理
19860473	コンクリ－トブロック製造設備製造販売
19860474	ＦＡシステム設計
19860478	食料品製造
19860479	和洋菓子製造販売
19860483	合成繊維・天然繊維織物製造
19860487	
19860488	倉庫・港湾運送業
19860500	
19860501	コ－ヒ－関連商品小売り
19860511	建築用塗料無機断熱材
19860513	
19860519	鋼構造物設計施行
19860520	コンピュ－タシステム
19860521	米酒燃料家電販売
19860522	瓦製造販売屋根工事一式
19860524	
19860528	総合建設業
19860529	ファスナ－アルミ建材製造
19860532	
19860533	総合建設業
19860536	
19860537	鉄骨構造物設計施工
19860539	
19860540	各種瓦ブロック製造販売施工
19860542	電気機械器具製造
19860545	総合建設業
19860546	繊維化学品製造販売
19860547	
19860549	建築業不動産売買
19860553	
19860559	総合建設業
19860560	
19860561	
19860567	総合農協
19860571	各種電気電子通信機器製造販売
19860574	
19860579	
19860581	プラント搬用機試験調整
19860582	
19860586	ジ－ンズカジュアル製造・販売
19860587	自動車販売修理
19860592	
19860594	ビジネスシステム企画・設計・開発・保守
19860596	家電製品販売
19860597	
19860604	モ－タ－ボ－ト競技運営
19860606	貨物自動車運送事業，港湾運送事業
19860607	建築工事業
19860614	
19860616	
19860621	
19860625	
19860626	総合レジャ－産業
19860627	
19860628	クリ－ニング
19860629	プログラム開発
19860630	整骨整体
19860631	
19860633	押出発砲ポリスチレン板（保温材）製造
19860637	
19860638	
19860639	
19860640	
19860642	
19860643	住宅関連事業
19860645	仏壇仏具等販売
19860646	
19860647	産業機械用防振ゴム部品製造
19860649	各種搬送伝導機器設計，製作，据付
19860651	
19860652	婚礼貸衣装
19860653	自動車販売修理
19860655	
19860657	自動車部品の塗装
19860659	ＬＰＧ販売
19860661	
19860663	建築
19860664	半導体関連設備設計施工
19860665	産業用機器製造販売
19860666	
19860667	
19860668	自動車部品製造
19860669	
19860670	水中土木工事海底調査等
19860671	下水道布設工事
19860672	
19860673	
19860676	
19860677	
19860680	元請建設業
19860681	
19860682	
19860683	
19860684	フォ－クリフトマリンエンジン
19860685	
19860686	
19860687	
19860689	
19860690	総合建設業
19860691	
19860692	
19860693	
19860695	建築工事
19860696	
19860697	家電製品販売修理
19860698	
19860699	断熱材，FRP成形加工粘着テープ製造
19860701	
19860702	
19860703	板硝子卸工事
19860704	生コン二次製品製造販売
19860705	総合土木建設業
19860706	
19860708	建築設計施工
19860709	
19860710	建築業
19860711	型枠工事
19860712	住宅設備機器組立
19870005	
19870008	
19870014	美容一般
19870024	建設業
19870039	飲食店
19870044	警備保障
19870048	美容業
19870062	船舶設計陸機設計
19870074	各種ｶﾞﾗｽﾋﾞﾝ，ﾌﾟﾗｽﾁｯｸ容器の製造販売
19870075	航空機及び同部品製造修理
19870085	百貨販売業
19870095	飲食業（お好み焼き，焼きそば，軽食，その他）
19870097	販売大型店
19870109	
19870110	
19870116	
19870127	金属製品加工
19870128	金属製品加工業務
19870129	金属製品加工
19870130	鉄筋組立工事
19870138	電気工事
19870147	産業機械設計製作販売
19870148	測量調査設計
19870157	自動車販売整備
19870162	石油製品販売
19870175	
19870177	特殊車輌用油圧シリンダ－等製造
19870189	石油製品住宅設備機器
19870202	
19870206	
19870212	デザインパーマ・カット・メイク等
19870213	
19870228	自動車販売
19870241	石油製品販売
19870244	総合建設業
19870245	ス－パ－チェ－ン
19870247	コンピュ－タ関連技術サ－ビス
19870250	鋼板加工販売
19870253	各種印刷物
19870255	橋梁の技術コンサルタント
19870260	総合建設業
19870262	美容室
19870270	
19870271	自動車販売修理
19870273	石油製品販売
19870274	医療
19870283	
19870291	靴玩具小売
19870297	総合建設業
19870299	屋内装飾
19870306	フォ－クリフト販売修理
19870309	住宅用内装部材製造販売
19870310	住宅用部材製造販売
19870317	
19870319	有料道路建設及び維持管理
19870324	理美容全般
19870333	
19870339	警備業
19870342	アルミ合金鋳造部品・自動車部品
19870349	石油製品・ＬＰガス販売
19870353	各種機械部品設計製作
19870357	呉服染色加工
19870375	鋼構造物設計請負
19870377	石油製品販売
19870383	
19870384	
19870398	ビル総合維持管理
19870404	各種園芸資材製造販売
19870405	
19870407	電子・半導体部品等めっき加工
19870412	印刷紙器製造
19870414	
19870417	コンピュ－タ関連機器設計開発
19870418	建築業  鉄筋工事
19870425	ホテル
19870426	船舶造・修業海運業
19870427	
19870428	産業機器部品製造
19870429	
19870441	総合建設業
19870442	電気機械器具製造
19870443	
19870444	電算写植等
19870446	銘木合板製造販売
19870454	
19870456	建設業
19870458	配電盤・制御盤等製造･販売･修理・改造
19870459	石油製品卸小売
19870461	
19870467	建築工事
19870475	建築設計施工
19870476	
19870481	一般産業機械製造修理
19870488	造園緑化工事土木工事
19870489	電気機械器具製造
19870491	不動産、レジャ－・サ－ビス業
19870499	自動車部品等販売
19870502	建築塗装工事
19870503	
19870506	総合建設業
19870507	総合建設業
19870512	計器の検定業務
19870513	建設業
19870516	プラスチック容器設計製造
19870517	
19870521	農協
19870525	
19870527	建材製造販売
19870530	ソフト開発
19870532	建築設計
19870533	
19870539	企画デザイン製本印刷
19870542	
19870546	
19870552	
19870555	総合建設業
19870557	食肉加工品製造販売
19870558	
19870560	自動車販売修理
19870562	製本
19870565	飲食業
19870572	二輪車修理販売
19870573	
19870574	建築工事・水道・下水工事
19870577	建設業
19870578	総合建設業
19870579	建築業
19870580	自動車販売
19870581	総合建設業
19870585	
19870591	農業用機械・部品製造
19870593	土木・建築工事
19870594	
19870595	設計製図
19870596	
19870598	
19870602	総合建設業
19870603	
19870605	
19870607	電気部品製造
19870608	
19870611	建築業
19870613	ビル電気工事等
19870614	
19870616	運送業
19870618	繊維製品の洗い加工，染色加工
19870619	
19870620	寿司  日本料理
19870622	通信機器販売保守
19870623	建築土木資材販売加工，石油製品販売
19870624	
19870625	映画興行
19870626	貸ビル業
19870627	飲食業
19870628	飲食業
19870629	
19870630	ホテル業
19870633	
19870634	
19870637	塗装防水工事
19870638	建築工事業
19870639	制御機器・電子機器等販売，ＦＡシステム設計施工
19870640	
19870641	
19870646	建築業
19870647	
19870648	
19870649	
19870650	
19870651	石油製品
19870652	
19870654	建設業
19870656	家電製品販売・設置施工・修理
19870657	
19870659	家庭電化製品販売
19870660	建設販売
19870661	
19870662	
19870664	
19870665	工業計測器等の修理調整
19870666	総合建設業
19870667	
19870670	水産練製品製造業
19870671	
19870672	総合建設業
19870675	ビデオ・無線システム工事保守
19870676	
19870679	測量設計調査
19870683	スチ－ルコンベヤ製作
19870684	
19870686	家庭電化製品販売
19870687	ＯＡ機器販売
19870688	
19870689	建設業（積水ハウス施工）
19870691	立体設備等保守修理他
19870693	建築設計・監理
19870694	
19870695	各種設計
19870698	自動車整備業
19870699	服の製造販売
19870701	
19870702	
19880012	
19880028	二輪四輪車製造
19880034	ホ－ムエレクトロニクス機器保守
19880038	銑鉄鋳物鋳造・精密機械加工
19880044	合成繊維製造
19880052	
19880057	プロパンガス販売ガス器具等販売
19880060	警備安全管理
19880061	各種ネジ製造販売
19880064	
19880065	
19880067	繊維工業，染色・整理・加工業等
19880070	総合建設業
19880082	
19880083	
19880089	プラント組立据付配管
19880092	石油製品販売
19880093	石油製品販売
19880094	
19880098	建材の設計製作
19880099	物流業
19880101	
19880102	
19880103	
19880106	中華「龍鳳」ら－めん「亀王」等外食産業
19880120	ＯＡ機器保守サ－ビス
19880121	カレー専門店
19880122	中華料理店
19880124	各種機械・部品の設計製作
19880127	日用品雑貨卸売ﾌﾟﾗｽﾁｯｸ容器製造
19880129	寿司，和食チェーン
19880131	
19880133	上下水道設備保守管理運転
19880138	自動車製造
19880147	総合建設業、プラントメンテナンス業
19880151	建設業
19880155	印刷全般
19880158	スジャ－タ
19880165	セキュリティサ－ビス
19880167	セキュリティサ－ビス
19880169	印刷全般
19880178	自動車販売整備
19880181	各種産業機器据付保全修理
19880190	
19880196	
19880209	綿糸，合繊混紡糸布製造
19880213	トラック販売修理
19880216	ＦＲＰ製品製造漁船ボ－ト
19880218	機械金属加工業
19880231	建設設備工事
19880232	石油化学工業製品
19880233	重軽電原子力機器基礎応用研究開発
19880238	工作機械販売修理
19880239	
19880245	石油製品等販売
19880253	保温・保冷工事設計施工他
19880261	
19880269	フ－ドサ－ビス業
19880270	石油製品販売
19880271	
19880275	建設業
19880279	建設業
19880283	缶製造販売
19880285	自動車部品製造
19880286	ソフト開発
19880287	石油製品の販売
19880294	
19880297	
19880303	産業用機械器具の製造
19880308	エレクトロニクス製品サ－ビス業
19880311	レストラン経営
19880313	理容業
19880316	電子機器等販売
19880317	工作機械等加工
19880319	理容・美容業
19880331	鉄鋼構築物防蝕
19880333	合繊混紡糸布電子部品製造
19880334	電気機械器具製造
19880338	ＯＡ機器保守点検
19880339	電子機器研究開発
19880341	飲食業
19880345	繊維製品貸出クリ－ニング
19880351	住宅用資材の卸売
19880353	
19880363	産業車両用駆動系部品製造
19880364	生産ラインシステムのレイアウト
19880365	
19880369	印刷製本
19880372	
19880380	
19880381	中華料理
19880383	建設業
19880384	レストラン
19880388	超ＬＳＩ液晶ディスプレイ
19880395	各種料理店
19880396	環境衛生事業
19880401	
19880405	美容業
19880410	ソフト等開発ＯＡ機器販売
19880415	航空機のクリ－ニング整備
19880422	洋菓子製造等
19880423	家庭電気製品販売
19880424	
19880428	
19880433	家具・食品事業
19880434	折詰製造販売料理飲食
19880437	電気工事設計施工
19880441	洋食レストラン
19880442	新聞販売
19880445	
19880446	サ－ビス業
19880447	
19880448	給食物資卸
19880459	車両、宇宙通信、原子力、真空部品等製作
19880464	乳製品の製造販売
19880465	各種通信機器研究開発製造販売
19880472	鉄筋加工組立
19880480	金型製造
19880482	計算システム設計
19880489	
19880493	家具建具製造販売
19880494	建設業
19880501	ハ－ド・ソフトの技術サ－ビス
19880507	自動車販売修理
19880511	
19880517	屋内電気設備工事設計施工保守監理
19880522	レストラン
19880527	一般機械加工、医療機器製造
19880528	
19880546	プリント基板組立
19880550	亜鉛めっき鋼板・カラー鋼板製造
19880553	印刷一般
19880562	商業施設設計施工
19880564	
19880572	食肉類加工製造販売
19880576	プラント計画設計
19880580	建築土木機械電気設計製図
19880583	電子部品製造検査
19880585	左官工事タイル工事
19880589	総合建設業
19880590	給食弁当製造販売
19880591	総合建設業
19880594	家電販売
19880596	管工機材鉄鋼建材販売
19880600	各種ハ－ドソフト販売
19880601	
19880602	リ－ス  レンタル
19880603	染色整理業
19880608	
19880616	木造建築
19880623	
19880626	総合建設業
19880630	建設機械用アタッチメント製作
19880632	調理食品・珍味・インスタント食品等製造・販売
19880639	
19880645	ホテル業
19880646	カ－オ－ディオ
19880647	居酒屋チェ－ン
19880651	総合建設業
19880657	
19880659	
19880660	洋服製造販売
19880666	
19880668	機械器具製造
19880670	総合建築業
19880672	電気設備配線工事
19880674	畳産業機械の製造販売
19880678	プリント基板製造
19880679	
19880680	家庭用電気製品卸売業
19880683	送電線用・通信用無線鉄塔製作
19880691	
19880692	電設資材総合卸
19880694	電気器具製造販売
19880702	情報通信システム開発設計
19880703	印刷業
19880711	
19880716	油圧機械設計製作
19880717	
19880718	医療サ－ビス
19880733	機械工具販売
19880734	ホテル業
19880739	空調機設計施工保守
19880743	スポ－ツ用品販売
19880744	ビデオソフト等の販売レンタル
19880748	土木建築工事
19880749	総合建設業
19880750	
19880752	農機具車両部品製造
19880755	総合建設業
19880758	
19880759	
19880764	計装工事設計施工
19880765	
19880766	
19880769	
19880771	医療業
19880772	ソフト開発
19880773	自動車鈑金塗装
19880776	住宅設備機器卸売
19880779	
19880785	
19880789	
19880793	住宅販売設計施工分譲地開発販売
19880797	建築工事業枠型工事業
19880798	食品加工製造販売
19880799	
19880802	総合建設業
19880803	美容業
19880808	繊維製品の染色洗い加工
19880810	ＯＡ機器販売
19880811	
19880813	
19880814	
19880816	
19880821	総合建築
19880822	ＯＡ機器販売
19880824	
19880825	
19880828	展示装飾設計施工
19880830	
19880831	都市ガス事業
19880833	ＯＡ機器設計開発
19880836	貨物取扱事業
19880837	
19880843	
19880844	医療器械等販売
19880845	作業服等製造販売
19880847	石油製品等販売
19880848	工業用部品金型等製作
19880849	
19880851	
19880852	ボウリング場
19880854	
19880856	
19880857	醸造用機械の設計・ 製造・販売
19880858	自動車販売修理
19880860	住宅内装部品建設資財等販売
19880969	
19880984	
19889645	
19890010	電気工事
19890017	服地等製造
19890020	石油製品販売
19890025	ジ－ンズ企画製造販売
19890028	金属の精錬製造
19890031	総合建設業
19890033	自動車部品製造
19890035	自動車製造販売
19890039	自動車部品製造金型設計製作
19890044	カム装置等の製造販売
19890046	自動車部品製造販売
19890048	産業車両など
19890049	車両用制御装置
19890051	スキ－毛糸製造
19890052	高級金属線粉末合金
19890060	ミ－ハナイト鋳物製造・販売
19890063	自動車部品加工
19890064	合繊紡績・ガラスクロス製繊加工
19890071	バイオ関連等の研究開発
19890077	建設業
19890080	百貨全般
19890081	非破壊検査業
19890096	産業設備設計製作
19890099	ロ－ラ－製造
19890109	防水・塗装工事
19890119	自動車製造
19890121	コントラクトフ－ドサ－ビス
19890122	フ－ドサ－ビス業
19890128	貨物取扱事業等
19890129	総合建設業
19890131	砥削機械の製造販売
19890136	自動車部品加工
19890137	自動車部品試作等
19890138	産業用圧縮機等ＣＥ・サ－ビス
19890139	チタン加工品の製造販売
19890145	電子計算機製造
19890146	住宅施行販売
19890147	総合建設業
19890153	紙製造
19890154	セラミック製品製造
19890157	組版システム設計
19890162	警備業
19890165	住設機器卸売
19890167	機械加工鋳造
19890170	総合建設業
19890175	ホテル飲食店
19890179	建設業
19890181	鉄鋼製造販売
19890182	寝装品寝具類製造
19890183	コンクリ－ト製品製造販売
19890188	水処理機械設計販売施工
19890189	ソフト開発
19890190	産業用ロボット各種制御装置
19890191	総合建設業
19890207	昇降機等販売据付保守
19890222	建築工事
19890233	情報処理
19890235	永久磁石製造販売
19890243	機械設計製図
19890250	電子機器設計製造
19890256	飲食業
19890257	コンピュ－タサ－ビス
19890258	金属加工機械製造
19890265	ケンタッキ－フライドチキン
19890266	自動車部品販売
19890272	飲食店
19890275	電気計測機器の製造販売
19890286	ソフトウエア開発
19890288	建設業
19890289	自動車部品組立製造
19890290	総合建設業
19890292	時間管理機器製造販売
19890294	プラント試験調整建築設備保守点検
19890296	家電製品販売修理
19890297	家電製品販売修理
19890298	家電製品販売修理
19890304	鉄鋼業
19890305	各種工業用フィルタークロス製造
19890308	鉄鋼機械工具製造
19890309	食品製造販売
19890310	不動産業測量建設コンサルタント
19890311	配管材料住宅設備機器卸売
19890312	耐蝕プラント設計施工
19890314	オ－ディオテ－プ製造
19890316	建築業
19890318	建設工事
19890320	鉄道、交通信号、道路施設工事設計施工
19890325	建設業
19890327	ステンレスサッシ加工製造販売
19890328	建築工事
19890329	建築工事
19890331	粗銅・電気銅・ﾏｸﾞﾈﾀｲﾄ生産
19890342	飲食およびホテル
19890348	総合建設
19890353	鋼板印刷加工
19890354	省力化機器製造販売
19890357	石油製品販売
19890362	土木工事
19890371	石油製品販売
19890373	管工事業
19890374	管工事業
19890375	糸、織物、ﾆｯﾄ製品、接着ﾌｨﾙﾑの製造
19890376	漬物製造販売
19890378	空調設備等設計施工保守
19890380	貨物運送業
19890383	運輸業
19890386	塩ビ樹脂製造
19890389	各種印刷
19890390	電設資材総合卸業
19890392	ギフト品等販売
19890393	雑誌の製本
19890394	菓子卸業
19890397	各種軽印刷物
19890400	食品等販売
19890401	印刷業
19890402	食料品製造
19890404	防災システム設計
19890406	通信機器販売修理
19890408	書籍販売
19890409	自動車用部品の製造
19890410	会計事務
19890411	食品包装資材卸売
19890412	食品包装用ポリフィルム印刷加工
19890413	手打うどん
19890414	テント
19890423	釣具全般レジャ－用品
19890429	電子計算機受託
19890430	電気電子機械製品実験の技術者派遣
19890435	自動車修理販売
19890443	業務用冷蔵庫製造販売
19890444	建設業
19890445	不動産業
19890451	電気器具卸売
19890453	住宅機器販売施工
19890454	半導体製品の研究開発
19890457	自動車製造販売
19890458	写真製版
19890459	金属加工用切削工具製造販売
19890462	空調設備工事部品製造
19890463	レストラン
19890475	美容全般
19890477	産業機械器具卸販売
19890478	石油製品販売
19890484	環境衛生管理事業
19890491	産業機械設計製作販売
19890493	ビルメンテナンス
19890499	総合小売業
19890505	ＯＡ機器販売修理
19890507	シリンダ－＆ピストン
19890510	総合小売業
19890511	建設業
19890514	染色整理機械製造
19890516	本田純正部品卸売
19890518	家庭用品等の販売
19890525	ソフト開発
19890537	鋳鉄製品製造
19890538	鋳造用木型金型設計製作
19890539	計測制御機器製造販売
19890542	化学プラント等設計建設
19890548	飲食業
19890549	セラミックス機器製造販売
19890554	総合建設業
19890556	電気工事
19890558	空調設備工事
19890560	省力機器等製造販売
19890561	自動車販売修理
19890562	電気工事業
19890570	家電製品ＯＡ機器販売・関連業務
19890573	総合建設
19890580	総合建設
19890581	清掃・設備保守
19890584	情報処理サ－ビス
19890593	自動車等製造販売
19890601	昇降機の保守点検
19890603	金属製品加工
19890604	産業機械製造
19890606	建設業
19890609	鉄骨橋梁設計製作建設工事
19890610	土質調査等
19890611	ソフトウエア保守
19890617	運輸業
19890618	土木建設機械等の販売修理
19890619	各種設計
19890620	総合建設業
19890622	自動車製品販売修理
19890624	ＯＡ機器保守販売
19890629	建築業
19890632	総合建設業
19890635	電子機器製造販売
19890637	自動車販売修理
19890638	住宅サ－ビス業
19890642	建設機械販売整備
19890650	理容
19890651	薬局薬店チェ－ン
19890652	印刷機械組立
19890660	包装袋の製造印刷
19890665	電気設備資材照明器具卸売
19890666	紳士服販売
19890673	印刷全般
19890675	麺類の製造販売
19890676	コ－プ商品配送
19890677	自動機器保守販売
19890680	住宅用シャッター，ＯＡﾌﾛｱ，車椅子等
19890681	弱電器の組立
19890685	総合建設業
19890687	電話機器無線機器画像機器
19890688	シャツ製造販売
19890690	ボ－リング工事業
19890692	医薬品販売
