企業番号	"生産品目"
19870543	コーンスタ－チ・糖化品等製造
19901375	金属製家具製造業
20050504	各種プラントの企画，設計，建設，保全
19850152	自動車整備,特殊車両設計製作、温泉ホテル
19880751	コンクリ－ト二次製品の設計製造販売
19880019	総合プラントエンジニアリング
19850347	電子部品，半導体集積回路デバイス組立
19901206	耐火物の製造販売，各種築炉の設計施工
19850688	建設業
19870076	内装仕上工事業
19850024	自動車の製造・販売（小型・軽・電気自動車等）
19910599	各種高圧ガス製造販売
19901049	機械器具設置工事業
19990013	食品軽量容器製造
19880110	家庭用電気器具小売業
20080168	会計事務所等に対する情報処理サ－ビス
19940388	管工事水道施設工事機械器具設置
19850449	情報通信機器の製造・開発・販売
19970075	検査計測，材料試験，組織試験，化学分析他
20060528	菓子等のパッケ－ジ（紙器）製造販売
20080173	鉄骨構造生産設計/建築外装生産設計
19911545	有機顔料製造及び合成樹脂用着色剤製造
19850032	工業計器、制御弁等メンテナンスサービス
19850082	貨物自動車運送業，倉庫業
19900214	貨物自動車運送事業，倉庫業
19911590	貨物自動車運送業・倉庫業
20080179	現場事務職員
19980255	左官工事
19890974	製鉄原料生産販売，選鉱機器開発・設計
20060019	ＤＲＡＭ等の半導体メモリ製品の製造
20080183	自動車製造
20070269	冷熱・空調・給排水機器製造販売整備
19900868	清涼飲料販売
20070300	分譲住宅事業
19850037	石油製品全般販売
20040073	ス－パ－マ－ケット
19870348	チェーンストア
20080190	太陽光発電・住宅ペイントの販売施工
20060423	設備工事・鉄製容器の製造・鉄鋼製品の梱包
20060467	自動車部品の入出庫・梱包
20070214	電子部品用ガラスの加工
19980622	うどん製造・卸・販売・店舗展開
19890334	江戸前握り寿司製造・販売
19850635	飲食業
19850418	工場設備、機械設備、電気制御等の設計
20030212	運送港湾荷役業、銅製錬業の付帯業務
19890012	新聞・商業・ビジネスフォーム印刷
19880806	製鉄所内操業補助作業・設備保全・部材製作
19880137	製鉄所向けロ－ル及び各種設備部品製造
19850463	自動制御システム工事・改造工事・保全工事
19990223	制御システム構築・設計製造保守・管理
19880460	自動車内装部品，リサイクル製品等製造
19880795	空気圧縮機のメンテナンス及び販売
19880669	重量物の移設及び据付工事
19870316	産業用機械器具設計製作据付
19910091	タ－ル・B.T.X蒸留品,炭素製品，精密化学品
19911273	プラント設備設計・製作・据付・メンテ
20070476	各種機械の修理、販売、建設業工事
19850322	不織布,ﾆｯﾄ製品，補強ﾈｯﾄ製造販売
20060128	不織布，ﾆｯﾄ製品，補強ネット製造販売
20050389	設備工事業
